10,1296
11,3391
12,1690
13,1839
14,2711
15,2313
16,2623
17,2947
18,3191
19,3452
20,3710
21,3925
22,4320
23,4738
24,5155
25,5332
26,50012
27,6894
28,6877
29,56282
30,7484
31,8034
32,8250
33,8695
34,8971
35,9501
36,10142
37,10131
38,13492
39,11623
40,12051
41,13335
42,13010
43,13706
44,61248
45,15065
46,15735
47,16219
48,16599
49,18536
50,18602
51,18929
52,49115
53,20571
54,34180
55,21594
56,22345
57,23188
58,24602
59,23821
60,24863
61,25837
62,36323
63,27483
64,77904
65,28578
66,29213
67,31597
68,172819
69,45878
70,114210
71,34157
72,34356
73,83913
74,36285
75,86398
76,38188
77,38402
78,126449
79,41929
80,43318
81,42652
82,43342
83,43737
84,115953
85,46666
86,47960
87,49335
88,49648
89,163748
90,50443
91,193817
92,56499
93,56948
94,54528
95,102518
96,56438
97,58994
98,69007
99,109313
100,59820
101,62283
102,68079
103,88938
104,64849
105,78747
106,112413
107,104214
108,68268
109,72814
110,150067
111,73616
112,75484
113,75444
114,76739
115,76527
116,98826
117,78209
118,125015
119,164671
120,83475
121,130649
122,85330
123,86598
124,87391
125,88971
126,137285
127,93967
128,127002
129,138362
130,142771
131,97810
132,98414
133,118451
134,201773
135,101856
136,131629
137,149256
138,161658
139,109437
140,172926
141,110506
142,111465
143,113025
144,178663
145,197338
146,158870
147,163012
148,130188
149,123525
150,124842
151,125787
152,221890
153,163132
154,128466
155,145633
156,208572
157,196054
158,135440
159,137555
160,141611
161,142273
162,142934
163,231277
164,148942
165,150256
166,189524
167,149929
168,154818
169,153633
170,154372
171,194919
172,201958
173,199668
174,203733
175,298306
176,169722
177,168624
178,212537
179,254164
180,175124
181,200210
182,176644
183,239635
184,183025
185,200724
186,228996
187,187553
188,224264
189,227937
190,240650
191,234888
192,239213
193,257895
194,235868
195,227411
196,204105
197,252331
198,206641
199,239429
