10,210
11,151
12,129
13,203
14,255
15,345
16,316
17,629
18,213
19,170
20,316
21,989
22,357
23,365
24,650
25,655
26,375
27,377
28,417
29,269
30,410
31,254
32,537
33,555
34,446
35,529
36,392
37,370
38,918
39,432
40,411
41,334
42,994
43,935
44,814
45,1412
46,810
47,514
48,777
49,1531
50,940
51,509
52,778
53,1091
54,772
55,1582
56,944
57,801
58,946
59,615
60,1494
61,534
62,1430
63,889
64,1872
65,702
66,1442
67,1109
68,873
69,1358
70,1022
71,1017
72,1832
73,908
74,1092
75,1576
76,1701
77,979
78,896
79,796
80,704
81,2072
82,1554
83,1173
84,1206
85,2263
86,1325
87,1329
88,954
89,1401
90,2208
91,2052
92,938
93,1352
94,1544
95,2035
96,1291
97,1858
98,1112
99,2740
100,1289
101,1935
102,984
103,2021
104,890
105,1590
106,1633
107,1707
108,1881
109,2456
110,2564
111,1685
112,1402
113,2768
114,3715
115,1617
116,1987
117,2202
118,2388
119,1393
120,2062
121,1393
122,1922
123,3199
124,3065
125,3260
126,1221
127,2145
128,927
129,1715
130,2033
131,1609
132,2769
133,2896
134,1684
135,2415
136,1917
137,2104
138,2383
139,1924
140,1949
141,2388
142,2167
143,1888
144,2303
145,2597
146,2184
147,2370
148,3301
149,3181
150,2654
151,2636
152,2506
153,2692
154,1850
155,3044
156,1648
157,2559
158,2347
159,2253
160,3986
161,3123
162,1393
163,3025
164,3499
165,2256
166,2374
167,3146
168,2917
169,2577
170,2201
171,2434
172,1803
173,2495
174,3017
175,2128
176,2278
177,3159
178,2840
179,1601
180,3432
181,2383
182,3420
183,2451
184,2608
185,2901
186,2475
187,3499
188,2763
189,3896
190,1995
191,3516
192,3760
193,3001
194,2966
195,3549
196,2753
197,5813
198,3928
199,2816
